complex	gene_product	stoichiometry
CPX-2313	b2441	6.0
CPX-2313	b2440	6.0
CPX-5122	b2868	0.0
CPX-5122	b2866	1.0
CPX-5122	b2867	0.0
CPX-4389	b1310	1.0
CPX-4389	b4524	2.0
CPX-4389	b1311	1.0
CPX-4389	b1312	1.0
CPX-3743	b1022	0.0
CPX-3743	b1021	0.0
CPX-2244	b1718	0.0
CPX-2244	b3168	1.0
CPX-2244	b0884	1.0
CPX-1974	b1227	2.0
CPX-1974	b1224	2.0
CPX-1974	b1225	2.0
CPX-5628	b4348	1.0
CPX-5628	b4350	2.0
CPX-5628	b4349	2.0
CPX-4388	b3566	1.0
CPX-4388	b3567	2.0
CPX-4388	b3568	2.0
CPX-3822	b4238	2.0
CPX-5124	b1861	4.0
CPX-5124	b1860	12.0
CPX-1945	b2496	1.0
CPX-1945	b3701	2.0
CPX-1945	b3702	0.0
CPX-1083	b3005	1.0
CPX-1083	b3006	4.0
CPX-1083	b3966	1.0
CPX-1083	b1252	1.0
CPX-4681	b3579	0.0
CPX-4681	b3578	0.0
CPX-4681	b3577	0.0
CPX-5283	b2990	0.0
CPX-5283	b2729	0.0
CPX-5283	b2730	0.0
CPX-1082	b1882	1.0
CPX-1082	b1946	0.0
CPX-1082	b1945	0.0
CPX-1082	b1939	0.0
CPX-1084	b3022	2.0
CPX-1084	b3021	2.0
CPX-5024	b1235	0.0
CPX-5024	b2741	0.0
CPX-5222	b1713	2.0
CPX-5222	b1714	2.0
CPX-4343	b1247	1.0
CPX-4343	b1329	1.0
CPX-4343	b1244	1.0
CPX-4343	b1245	1.0
CPX-4343	b1246	1.0
CPX-1927	b3701	2.0
CPX-2634	b1199	2.0
CPX-2634	b1200	2.0
CPX-2634	b1198	0.0
CPX-4450	b3269	1.0
CPX-4450	b3270	1.0
CPX-4450	b3271	2.0
CPX-4450	b3268	1.0
CPX-2254	b0573	0.0
CPX-2254	b0572	3.0
CPX-2254	b0574	6.0
CPX-2254	b0575	3.0
CPX-3091	b4245	6.0
CPX-3091	b4244	6.0
CPX-4021	b0397	2.0
CPX-4021	b0398	2.0
CPX-403	b1084	12.0
CPX-403	b3164	12.0
CPX-403	b2779	16.0
CPX-403	b3780	8.0
CPX-3570	b3769	2.0
CPX-5762	b1951	1.0
CPX-5762	b2217	1.0
CPX-4316	b3454	1.0
CPX-4316	b3456	1.0
CPX-4316	b3457	1.0
CPX-4316	b3455	1.0
CPX-4316	b3460	1.0
CPX-2114	b0197	1.0
CPX-2114	b0198	2.0
CPX-2114	b0199	2.0
CPX-4468	b2548	1.0
CPX-4468	b2546	2.0
CPX-4468	b2547	2.0
CPX-1966	b1237	4.0
CPX-4387	b0067	2.0
CPX-4387	b0068	1.0
CPX-4387	b0066	2.0
CPX-1093	b0054	1.0
CPX-1093	b0641	1.0
CPX-2853	b0170	2.0
CPX-2853	b3980	2.0
CPX-5906	ECOK12F043	2.0
CPX-5906	b2231	2.0
CPX-1975	b1475	3.0
CPX-1975	b1476	3.0
CPX-1975	b1474	3.0
CPX-1943	b3702	0.0
CPX-2155	b1114	1.0
CPX-2155	b4058	1.0
CPX-3175	b0882	12.0
CPX-3175	b0437	14.0
CPX-4862	b0605	10.0
CPX-4862	b0606	2.0
CPX-1959	b4000	2.0
CPX-3577	b3005	3.0
CPX-3577	b3006	6.0
CPX-3577	b2155	1.0
CPX-3577	b1252	1.0
CPX-3921	b0727	24.0
CPX-3921	b0116	2.0
CPX-3921	b0726	12.0
CPX-5781	b2217	0.0
CPX-5781	b3512	0.0
CPX-1090	b0923	2.0
CPX-1090	b0924	2.0
CPX-1090	b0922	2.0
CPX-1954	b2496	4.0
CPX-1954	b3701	4.0
CPX-5782	b0739	0.0
CPX-5782	b0740	0.0
CPX-5782	b0741	0.0
CPX-5782	b0738	0.0
CPX-5782	b0737	0.0
CPX-5979	b3900	0.0
CPX-5979	b3899	0.0
CPX-5681	b1393	6.0
CPX-5681	b1394	6.0
CPX-1978	b2417	2.0
CPX-1978	b4032	1.0
CPX-1978	b4035	2.0
CPX-1978	b4033	1.0
CPX-2117	b0935	4.0
CPX-3964	b3845	2.0
CPX-3964	b3846	2.0
CPX-5994	b3947	0.0
CPX-5994	b3953	0.0
CPX-5994	b3950	0.0
CPX-5994	b3949	0.0
CPX-2118	b0937	2.0
CPX-6019	b1590	0.0
CPX-6019	b1589	0.0
CPX-6019	b1588	0.0
CPX-4284	b3750	2.0
CPX-4284	b3751	1.0
CPX-4284	b3749	2.0
CPX-4385	b2424	1.0
CPX-4385	b2423	1.0
CPX-4385	b2425	1.0
CPX-4385	b2422	2.0
CPX-1976	b1761	6.0
CPX-5764	b2217	0.0
CPX-5764	b0294	0.0
CPX-4341	b2148	2.0
CPX-4341	b2149	2.0
CPX-4341	b2150	1.0
CPX-4602	b3463	0.0
CPX-4602	b3462	0.0
CPX-1933	b4052	6.0
CPX-1933	b3066	3.0
CPX-6022	b3137	0.0
CPX-6022	b3132	0.0
CPX-1968	b0826	2.0
CPX-1968	b0784	2.0
CPX-4324	b0652	2.0
CPX-4324	b0653	1.0
CPX-4324	b0654	1.0
CPX-4324	b0655	1.0
CPX-1963	b3149	4.0
CPX-1963	b3702	4.0
CPX-5780	b3988	1.0
CPX-5780	b3169	1.0
CPX-5780	b3321	1.0
CPX-5780	b3295	2.0
CPX-5780	b3649	1.0
CPX-5780	b3982	1.0
CPX-5780	b0416	1.0
CPX-5780	b3987	1.0
CPX-1077	b1882	1.0
CPX-1077	b1888	1.0
CPX-2137	b2810	2.0
CPX-5747	b0594	4.0
CPX-5747	b0596	4.0
CPX-5542	b4170	0.0
CPX-5542	b3813	0.0
CPX-4102	b3129	2.0
CPX-4102	b3130	4.0
CPX-4883	b3988	1.0
CPX-4883	b2741	1.0
CPX-4883	b3649	1.0
CPX-4883	b3295	2.0
CPX-4883	b3987	1.0
CPX-317	b2721	1.0
CPX-317	b2723	0.0
CPX-317	b2724	1.0
CPX-317	b2720	0.0
CPX-317	b4079	1.0
CPX-317	b2719	1.0
CPX-317	b2722	0.0
CPX-4121	b3082	2.0
CPX-4121	b3083	2.0
CPX-3464	b3193	6.0
CPX-3464	b3191	0.0
CPX-3464	b3195	0.0
CPX-3464	b3194	0.0
CPX-4262	b1116	1.0
CPX-4262	b1117	2.0
CPX-4262	b1118	1.0
CPX-2149	b0888	2.0
CPX-1946	b4052	6.0
CPX-2124	b1680	2.0
CPX-4443	b0792	0.0
CPX-4443	b0794	0.0
CPX-4443	b0793	0.0
CPX-6021	b4082	0.0
CPX-6021	b4080	0.0
CPX-6021	b4081	0.0
CPX-4449	b2129	2.0
CPX-4449	b2131	1.0
CPX-4449	b2128	1.0
CPX-4449	b2130	1.0
CPX-3190	b0368	2.0
CPX-1936	b3933	0.0
CPX-1936	b0095	0.0
CPX-1936	b0084	0.0
CPX-1936	b0094	0.0
CPX-1936	b0089	0.0
CPX-1936	b0890	0.0
CPX-1936	b2412	0.0
CPX-3802	b3316	1.0
CPX-3802	b3314	1.0
CPX-3802	b3296	1.0
CPX-3802	b0911	1.0
CPX-3802	b3306	1.0
CPX-3802	b0169	1.0
CPX-3802	b4200	1.0
CPX-3802	b3065	1.0
CPX-3802	b3298	1.0
CPX-3802	b3311	1.0
CPX-3802	b3303	1.0
CPX-3802	b3341	1.0
CPX-3802	b3321	1.0
CPX-3802	b4202	1.0
CPX-3802	b2609	1.0
CPX-3802	b0023	1.0
CPX-3802	b3297	1.0
CPX-3802	b3307	1.0
CPX-3802	b3342	1.0
CPX-3802	b3165	1.0
CPX-3802	b3230	1.0
CPX-5887	b1078	24.0
CPX-5887	b1077	6.0
CPX-5887	b1937	0.0
CPX-5887	b1074	6.0
CPX-5887	b1073	6.0
CPX-5627	b0273	3.0
CPX-1957	b0912	1.0
CPX-1957	b1712	1.0
CPX-4888	b3988	1.0
CPX-4888	b4293	1.0
CPX-4888	b3649	1.0
CPX-4888	b3295	2.0
CPX-4888	b3987	1.0
CPX-1950	b4052	6.0
CPX-1950	b4361	3.0
CPX-1950	b3702	0.0
CPX-1980	b1237	2.0
CPX-1980	b1625	1.0
CPX-5968	b1817	0.0
CPX-5968	b1818	0.0
CPX-5968	b1819	0.0
CPX-4886	b3988	1.0
CPX-4886	b1922	1.0
CPX-4886	b3649	1.0
CPX-4886	b3295	2.0
CPX-4886	b3987	1.0
CPX-2138	b2811	2.0
CPX-2138	b2810	2.0
CPX-2125	b1679	2.0
CPX-1970	b0785	2.0
CPX-1970	b0784	2.0
CPX-3585	b3005	3.0
CPX-3585	b3006	6.0
CPX-3585	b1252	1.0
CPX-3585	b1451	1.0
CPX-4329	b2310	1.0
CPX-4329	b2307	1.0
CPX-4329	b2306	2.0
CPX-4329	b2308	1.0
CPX-5910	b4052	6.0
CPX-5910	b4201	0.0
CPX-5910	b4362	0.0
CPX-5910	b3066	3.0
CPX-5910	b4361	6.0
CPX-5910	b3935	0.0
CPX-2139	b3470	2.0
CPX-2139	b2530	2.0
CPX-4115	b2631	0.0
CPX-4115	b2630	0.0
CPX-2123	b1683	1.0
CPX-2123	b1682	2.0
CPX-2123	b1681	1.0
CPX-5125	b1863	1.0
CPX-1961	b0440	1.0
CPX-1961	b4000	1.0
CPX-1961	b3702	0.0
CPX-6020	b1600	0.0
CPX-6020	b1599	0.0
CPX-3966	b2342	2.0
CPX-3966	b2341	2.0
CPX-5541	b4170	2.0
CPX-5541	b2733	2.0
CPX-5541	b2831	0.0
CPX-3949	b2905	0.0
CPX-3949	b2904	0.0
CPX-3949	b2903	0.0
CPX-3949	b0116	0.0
CPX-1955	b0687	0.0
CPX-3447	b2203	1.0
CPX-3447	b2206	1.0
CPX-4119	b1438	0.0
CPX-4119	b4532	0.0
CPX-4386	b3917	1.0
CPX-4386	b2423	1.0
CPX-4386	b2424	1.0
CPX-4386	b2422	2.0
CPX-4286	b0152	1.0
CPX-4286	b0151	2.0
CPX-4286	b0153	2.0
CPX-4317	b3458	1.0
CPX-4317	b3454	1.0
CPX-4317	b3456	1.0
CPX-4317	b3457	1.0
CPX-4317	b3455	1.0
CPX-4362	b2180	2.0
CPX-4362	b2178	1.0
CPX-4362	b2179	1.0
CPX-4362	b2177	1.0
CPX-5890	b4221	0.0
CPX-5890	b4220	0.0
CPX-5581	b1467	1.0
CPX-5581	b1468	0.0
CPX-5581	b1465	0.0
CPX-282	b2997	0.0
CPX-282	b2995	0.0
CPX-282	b2996	0.0
CPX-282	b2994	0.0
CPX-5908	ECOK12F043	2.0
CPX-5908	ECOK12F042	2.0
CPX-3099	b0093	2.0
CPX-3099	b2748	2.0
CPX-3099	b0083	2.0
CPX-4313	b0933	2.0
CPX-4313	b0936	1.0
CPX-4313	b0934	2.0
CPX-1081	b1564	2.0
CPX-1081	b1563	2.0
CPX-4263	b0462	3.0
CPX-4263	b0463	6.0
CPX-4263	b3035	3.0
CPX-5942	b2092	0.0
CPX-5942	b2094	0.0
CPX-5942	b2093	0.0
CPX-3573	b3671	2.0
CPX-3573	b3670	2.0
CPX-1926	b4259	1.0
CPX-1926	b1099	1.0
CPX-1926	b0640	1.0
CPX-1926	b4372	1.0
CPX-1926	b0470	3.0
CPX-5544	b1183	2.0
CPX-5544	b1184	1.0
CPX-5544	b2699	1.0
CPX-1953	b4052	6.0
CPX-1953	b4361	6.0
CPX-1953	b3778	0.0
CPX-1953	b0467	0.0
CPX-3576	b3005	3.0
CPX-3576	b3006	6.0
CPX-3576	b4291	1.0
CPX-3576	b1252	1.0
CPX-3090	b3351	2.0
CPX-3090	b3350	2.0
CPX-1960	b0440	2.0
CPX-4022	b3735	1.0
CPX-4022	b3731	1.0
CPX-4022	b3734	3.0
CPX-4022	b3737	10.0
CPX-4022	b3738	1.0
CPX-4022	b3732	3.0
CPX-4022	b3733	1.0
CPX-4022	b3736	2.0
CPX-1979	b1237	2.0
CPX-1979	b0460	1.0
CPX-5281	b2712	0.0
CPX-5281	b2730	0.0
CPX-1948	b0812	12.0
CPX-1948	b3702	0.0
CPX-1088	b1882	2.0
CPX-1088	b1881	2.0
CPX-4319	b0862	1.0
CPX-4319	b0861	1.0
CPX-4319	b0864	2.0
CPX-4319	b0860	1.0
CPX-2177	b2231	2.0
CPX-2177	b3699	2.0
CPX-4063	b4224	0.0
CPX-4063	b4225	0.0
CPX-5765	b2217	2.0
CPX-4901	b3067	0.0
CPX-4901	b3995	0.0
CPX-3861	b4261	1.0
CPX-3861	b4262	1.0
CPX-3861	b3201	2.0
CPX-4325	b0831	1.0
CPX-4325	b0829	2.0
CPX-4325	b0830	1.0
CPX-4325	b0832	1.0
CPX-4465	b1754	1.0
CPX-4465	b1756	2.0
CPX-4465	b1755	2.0
CPX-5888	b2682	0.0
CPX-5888	b2683	0.0
CPX-5898	b0435	1.0
CPX-5898	b1654	1.0
CPX-2116	b0914	2.0
CPX-5884	b1890	4.0
CPX-5884	b1889	2.0
CPX-4407	b1858	2.0
CPX-4407	b1859	2.0
CPX-4407	b1857	1.0
CPX-3578	b0584	1.0
CPX-3578	b3006	6.0
CPX-3578	b3005	3.0
CPX-3578	b1252	1.0
CPX-5674	b3988	1.0
CPX-5674	b3169	1.0
CPX-5674	b3321	1.0
CPX-5674	b3295	2.0
CPX-5674	b3649	1.0
CPX-5674	b3982	1.0
CPX-5674	b0416	1.0
CPX-5674	b3987	1.0
CPX-4265	b3266	0.0
CPX-4265	b3265	0.0
CPX-4265	b3035	3.0
CPX-4783	b1264	2.0
CPX-4783	b1263	2.0
CPX-3178	b0437	14.0
CPX-4005	b0422	4.0
CPX-4005	b2509	1.0
CPX-4683	b1737	0.0
CPX-4683	b1738	1.0
CPX-4683	b1736	3.0
CPX-4781	b0617	6.0
CPX-4781	b0616	6.0
CPX-4781	b0615	6.0
CPX-1096	b3981	2.0
CPX-1096	b3300	2.0
CPX-1096	b3175	2.0
CPX-4323	b4227	1.0
CPX-4323	b4230	1.0
CPX-4323	b4485	2.0
CPX-4323	b4231	1.0
CPX-5623	b1603	1.0
CPX-5623	b1602	1.0
CPX-2508	b1891	2.0
CPX-2508	b1892	4.0
CPX-4312	b0365	1.0
CPX-4312	b0367	2.0
CPX-4312	b0366	2.0
CPX-5763	b4366	1.0
CPX-5763	b2217	1.0
CPX-1944	b3317	0.0
CPX-1944	b3702	0.0
CPX-320	b0896	1.0
CPX-320	b0894	1.0
CPX-320	b0895	1.0
CPX-3579	b3005	3.0
